"","Agency.Name","State.Name","Total.General.Revenue","Number.Public.Schools","leaid11","County.Name","Full.Time.Teachers","Pupil.Teacher.Ratio","Total.Students"
"13849","ROXBURY PREPARATORY CHARTER (DISTRICT)","Massachusetts",4891000,1,2500063,"SUFFOLK COUNTY",23.05,10.59,244
"13850","ROXBURY SCHOOL DISTRICT","Vermont",1536000,1,5006960,"WASHINGTON COUNTY",6,11,66
"13851","ROXBURY TOWNSHIP PUBLIC SCHOOLS","New Jersey",75501000,7,3414340,"MORRIS COUNTY",320.9,12.53,4021
"13852","ROXTON ISD","Texas",2076000,1,4838160,"LAMAR COUNTY",21.72,8.84,192
"13853","ROY K-12 SCHOOLS","Montana",1030000,3,3023160,"FERGUS COUNTY",7.32,5.6,41
"13854","ROY MUNICIPAL SCHOOLS","New Mexico",2040000,2,3502280,"HARDING COUNTY",9.17,4.36,40
"13855","ROYAL ISD","Texas",23988000,4,4838190,"WALLER COUNTY",151.45,13.91,2107
"13856","ROYAL SCHOOL DISTRICT","Washington",16279000,3,5307620,"GRANT COUNTY",78.54,20.14,1582
"13857","ROYAL VALLEY","Kansas",11015000,3,2009320,"JACKSON COUNTY",84.8,10.96,929
"13858","ROYALL SCHOOL DISTRICT","Wisconsin",9395000,4,5504380,"JUNEAU COUNTY",47.65,12.49,595
"13859","ROYALTON PUBLIC SCHOOL DISTRICT","Minnesota",7883000,2,2732520,"MORRISON COUNTY",49.94,17.02,850
"13860","ROYALTON SCHOOL DISTRICT","Vermont",7930000,1,5006990,"WINDSOR COUNTY",37.7,8.65,326
"13861","ROYALTON-HARTLAND CENTRAL SCHOOL DISTRICT","New York",22132000,3,3625140,"NIAGARA COUNTY",102.76,14.62,1502
"13862","ROYSE CITY ISD","Texas",46905000,9,4838220,"ROCKWALL COUNTY",326.77,14.24,4653
"13863","RSD CHARTER SCHOOL  INC.","Arizona",1601000,2,400656,"MARICOPA COUNTY",NA,NA,227
"13864","RSD-100 BLACK MEN CAPITOL CHARTER INITIATIVE","Louisiana",NA,NA,2200134,"EAST BATON ROUGE PARISH",19,NA,NA
"13865","RSD-ADVANCE BATON ROUGE","Louisiana",22157000,5,2200136,"EAST BATON ROUGE PARISH",110.22,15.93,1756
"13866","RSD-ADVOCACY FOR THE ARTS & TECH IN N.O.  INC.","Louisiana",2283000,1,2200137,"ORLEANS PARISH",11.96,20.23,242
"13867","RSD-AKILI ACADEMY OF NEW ORLEANS","Louisiana",3530000,1,2200133,"ORLEANS PARISH",14.96,20.52,307
"13868","RSD-ALGIERS CHARTER SCHOOLS ASSOCIATION (ACSA)","Louisiana",40372000,6,2200053,"ORLEANS PARISH",239.92,15.28,3667
"13869","RSD-ARISE ACADEMY","Louisiana",3864000,1,2200141,"ORLEANS PARISH",20.88,14.89,311
"13870","RSD-BENJAMIN E. MAYS PREPARATORY SCHOOL","Louisiana",3279000,1,2200145,"ORLEANS PARISH",12,26.08,313
"13871","RSD-BROADMOOR CHARTER SCHOOL BOARD","Louisiana",6078000,1,2200130,"ORLEANS PARISH",28.71,19.37,556
"13872","RSD-CHOICE FOUNDATION","Louisiana",13964000,2,2200051,"ORLEANS PARISH",81,15.28,1238
"13873","RSD-COLLEGIATE ACADEMIES","Louisiana",3992000,1,2200132,"ORLEANS PARISH",18.55,18.01,334
"13874","RSD-COMMUNITY LEADERS ADVOCATING STUDENT SUCCESS","Louisiana",4470000,1,2200162,"ORLEANS PARISH",0,NA,504
"13875","RSD-CRESCENT CITY SCHOOLS","Louisiana",6347000,1,2200161,"ORLEANS PARISH",0,NA,521
"13876","RSD-CRESTWORTH LEARNING ACADEMY  INC.","Louisiana",3948000,1,2200143,"EAST BATON ROUGE PARISH",28.49,12.74,363
"13877","RSD-DRYADES YMCA","Louisiana",7489000,1,2200048,"ORLEANS PARISH",37,19.3,714
"13878","RSD-FIRSTLINE SCHOOLS  INC.","Louisiana",21833000,4,2200046,"ORLEANS PARISH",75.33,23.91,1801
"13879","RSD-FRIENDS OF KING","Louisiana",7648000,1,2200049,"ORLEANS PARISH",46,14.04,646
"13880","RSD-INSTITUTE FOR ACADEMIC EXCELLENCE","Louisiana",5253000,1,2200044,"ORLEANS PARISH",24.51,19.42,476
"13881","RSD-INTERCULTURAL CHARTER SCHOOL BOARD  INC.","Louisiana",4388000,1,2200140,"ORLEANS PARISH",19,22.05,419
"13882","RSD-KNOWLEDGE IS POWER PROGRAM (KIPP) N.O.","Louisiana",29317000,6,2200045,"ORLEANS PARISH",137.78,17.87,2462
"13883","RSD-LAGNIAPPE ACADEMIES OF NEW ORLEANS","Louisiana",1939000,1,2200153,"ORLEANS PARISH",7,16.43,115
"13884","RSD-MILLER-MCCOY ACADEMY FOR MATH AND BUSINESS","Louisiana",5684000,1,2200135,"ORLEANS PARISH",37,15.19,562
"13885","RSD-MORRIS JEFF COMMUNITY SCHOOL","Louisiana",2580000,1,2200152,"ORLEANS PARISH",9.77,26.71,261
"13886","RSD-NEW BEGINNINGS SCHOOLS FOUNDATION","Louisiana",20555000,4,2200043,"ORLEANS PARISH",97.94,19.02,1863
"13887","RSD-NEW ORLEANS CHARTER SCHOOLS FOUNDATION","Louisiana",4470000,1,2200050,"ORLEANS PARISH",24.99,16.01,400
"13888","RSD-NEW ORLEANS COLLEGE PREPARATORY ACADEMIES","Louisiana",11070000,1,2200128,"ORLEANS PARISH",42.99,19,817
"13889","RSD-NOLA 180","Louisiana",6575000,1,2200129,"ORLEANS PARISH",37.5,16.45,617
"13890","RSD-PELICAN EDUCATIONAL FOUNDATION","Louisiana",7388000,1,2200131,"ORLEANS PARISH",69.31,6.91,479
"13891","RSD-PRIDE COLLEGE PREPARATORY ACADEMY","Louisiana",2993000,1,2200147,"ORLEANS PARISH",15,16.53,248
"13892","RSD-RENEW-REINVENTING EDUCATION  INC.","Louisiana",27786000,5,2200155,"ORLEANS PARISH",58.15,37.66,2190
"13893","RSD-SHREVEPORT CHARTER SCHOOL  INC.","Louisiana",5746000,1,2200142,"CADDO PARISH",33.98,14.42,490
"13894","RSD-SOJOURNER TRUTH ACADEMY  INC.","Louisiana",2636000,1,2200138,"ORLEANS PARISH",19.99,12.56,251
"13895","RSD-SPIRIT OF EXCELLENCE ACADEMY","Louisiana",3822000,1,2200154,"ORLEANS PARISH",24.86,14.72,366
"13896","RSD-SUCCESS PREPARATORY ACADEMY","Louisiana",4839000,1,2200144,"ORLEANS PARISH",19.99,19.01,380
"13897","RSD-TREME CHARTER SCHOOLS ASSOCIATION","Louisiana",4718000,1,2200052,"ORLEANS PARISH",32.74,16.07,526
"13898","RSU 01 - LKRSU","Maine",29945000,8,2314772,"SAGADAHOC COUNTY",167.71,12.65,2121
"13899","RSU 02","Maine",27998000,10,2314776,"KENNEBEC COUNTY",196.05,11.24,2204
"13900","RSU 03/MSAD 03","Maine",22259000,8,2311520,"WALDO COUNTY",110.1,13.38,1473
"13901","RSU 04","Maine",19984000,5,2314783,"ANDROSCOGGIN COUNTY",119.8,12.6,1509
"13902","RSU 05","Maine",27284000,6,2314789,"CUMBERLAND COUNTY",155.92,12.38,1931
"13903","RSU 06/MSAD 06","Maine",48915000,8,2311790,"YORK COUNTY",301.28,12.99,3914
"13904","RSU 07/MSAD 07","Maine",2001000,1,2311820,"KNOX COUNTY",12.09,5.21,63
"13905","RSU 08/MSAD 08","Maine",3492000,1,2311850,"KNOX COUNTY",20.57,9.24,190
"13906","RSU 09","Maine",NA,NA,2314809,"FRANKLIN COUNTY",NA,NA,NA
"13907","RSU 09/MSAD 09","Maine",29749000,8,2311880,"FRANKLIN COUNTY",187.81,12.26,2302
"13908","RSU 10","Maine",40849000,9,2314795,"OXFORD COUNTY",263.23,10.76,2833
"13909","RSU 11/MSAD 11","Maine",25158000,7,2310590,"KENNEBEC COUNTY",172.54,12.44,2146
"13910","RSU 12","Maine",29459000,8,2314780,"LINCOLN COUNTY",142.31,13.65,1942
"13911","RSU 13","Maine",30931000,10,2314787,"KNOX COUNTY",188.19,10.81,2034
"13912","RSU 14","Maine",44204000,6,2314793,"CUMBERLAND COUNTY",247.05,13.68,3380
"13913","RSU 15/MSAD 15","Maine",23623000,5,2310710,"CUMBERLAND COUNTY",148.75,13.8,2053
"13914","RSU 16","Maine",20709000,5,2314775,"ANDROSCOGGIN COUNTY",137.85,12.62,1739
"13915","RSU 17/MSAD 17","Maine",42183000,10,2310770,"OXFORD COUNTY",255.96,13.59,3479
"13916","RSU 18","Maine",36713000,8,2314779,"KENNEBEC COUNTY",221.68,14.59,3234
"13917","RSU 19","Maine",26154000,8,2314785,"PENOBSCOT COUNTY",182.08,12.85,2339
"13918","RSU 20","Maine",37666000,13,2314791,"WALDO COUNTY",225.1,11.2,2521
"13919","RSU 21","Maine",39657000,6,2314773,"YORK COUNTY",188.93,14.03,2651
"13920","RSU 22/MSAD 22","Maine",29083000,7,2310950,"PENOBSCOT COUNTY",166.38,13.18,2193
"13921","RSU 23","Maine",46977000,9,2314784,"YORK COUNTY",246.76,16.42,4053
"13922","RSU 24","Maine",42066000,11,2314790,"HANCOCK COUNTY",247.49,10.67,2641
"13923","RSU 25","Maine",15700000,4,2314796,"HANCOCK COUNTY",86.25,13.21,1139
"13924","RSU 26","Maine",23447000,5,2314778,"PENOBSCOT COUNTY",129.76,11.84,1536
"13925","RSU 28/MSAD 28","Maine",13257000,2,2311130,"KNOX COUNTY",69.56,10.16,707
"13926","RSU 29/MSAD 29","Maine",14174000,5,2311160,"AROOSTOOK COUNTY",101.66,12.66,1287
"13927","RSU 30/MSAD 30","Maine",4096000,3,2311220,"WASHINGTON COUNTY",17.64,14.85,262
"13928","RSU 31/MSAD 31","Maine",7991000,3,2311250,"PENOBSCOT COUNTY",57.76,9.45,546
"13929","RSU 32/MSAD 32","Maine",5836000,1,2311280,"AROOSTOOK COUNTY",28.95,11.09,321
"13930","RSU 33/MSAD 33","Maine",3958000,3,2311310,"AROOSTOOK COUNTY",28.21,9.32,263
"13931","RSU 34","Maine",19443000,5,2314782,"PENOBSCOT COUNTY",132.37,9.96,1319
"13932","RSU 35/MSAD 35","Maine",29458000,5,2311370,"YORK COUNTY",167.51,14.1,2362
"13933","RSU 36/MSAD 36","Maine",NA,NA,2311400,"ANDROSCOGGIN COUNTY",0,NA,2
"13934","RSU 37/MSAD 37","Maine",9220000,5,2311430,"WASHINGTON COUNTY",61.08,11.84,723
"13935","RSU 38","Maine",17654000,6,2314788,"KENNEBEC COUNTY",111.51,10.62,1184
"13936","RSU 39","Maine",22339000,6,2314794,"AROOSTOOK COUNTY",148.81,10.6,1577
"13937","RSU 40/MSAD 40","Maine",26334000,7,2311550,"KNOX COUNTY",158.11,11.92,1885
"13938","RSU 41/MSAD 41","Maine",8163000,4,2311580,"PISCATAQUIS COUNTY",62.75,10.63,667
"13939","RSU 42/MSAD 42","Maine",4589000,2,2311610,"AROOSTOOK COUNTY",38.02,10.28,391
"13940","RSU 44/MSAD 44","Maine",12237000,5,2311670,"OXFORD COUNTY",71.38,10.25,732
"13941","RSU 45/MSAD 45","Maine",4565000,2,2311700,"AROOSTOOK COUNTY",31.05,12.08,375
"13942","RSU 49/MSAD 49","Maine",28030000,6,2314330,"SOMERSET COUNTY",190.74,12.33,2351
"13943","RSU 50","Maine",7608000,3,2314806,"AROOSTOOK COUNTY",0,NA,771
"13944","RSU 51/MSAD 51","Maine",33565000,4,2314240,"CUMBERLAND COUNTY",164.16,12.82,2104
"13945","RSU 52/MSAD 52","Maine",27152000,6,2314160,"ANDROSCOGGIN COUNTY",170.09,12.09,2057
"13946","RSU 53/MSAD 53","Maine",11643000,4,2314610,"SOMERSET COUNTY",57.43,19.08,1096
"13947","RSU 54/MSAD 54","Maine",37121000,8,2314590,"SOMERSET COUNTY",218.23,12.54,2737
"13948","RSU 55/MSAD 55","Maine",16034000,5,2314190,"OXFORD COUNTY",92.87,12.33,1145
"13949","RSU 57/MSAD 57","Maine",40857000,7,2314670,"YORK COUNTY",226.7,14.6,3310
"13950","RSU 58/MSAD 58","Maine",11011000,5,2314300,"FRANKLIN COUNTY",70.81,8.53,604
"13951","RSU 59/MSAD 59","Maine",12979000,4,2314560,"SOMERSET COUNTY",81.1,11.97,971
"13952","RSU 60/MSAD 60","Maine",39585000,7,2314700,"YORK COUNTY",245.41,12.47,3060
"13953","RSU 61/MSAD 61","Maine",31808000,6,2314210,"CUMBERLAND COUNTY",189.46,9.75,1848
"13954","RSU 63/MSAD 63","Maine",10147000,3,2314470,"PENOBSCOT COUNTY",53.16,17.83,948
"13955","RSU 64/MSAD 64","Maine",12175000,7,2314440,"PENOBSCOT COUNTY",86.88,13.98,1215
"13956","RSU 65/MSAD 65","Maine",150000,1,2314410,"KNOX COUNTY",0,NA,NA
"13957","RSU 67","Maine",14379000,3,2314777,"PENOBSCOT COUNTY",96.36,11.03,1063
"13958","RSU 68/MSAD 68","Maine",11559000,2,2314761,"PISCATAQUIS COUNTY",46.4,21.29,988
"13959","RSU 70/MSAD 70","Maine",6915000,2,2314762,"AROOSTOOK COUNTY",41.73,12.01,501
"13960","RSU 72/MSAD 72","Maine",17153000,4,2314765,"OXFORD COUNTY",69.48,17.23,1197
"13961","RSU 73","Maine",21043000,6,2314805,"ANDROSCOGGIN COUNTY",0,NA,89
"13962","RSU 74/MSAD 74","Maine",11002000,4,2314767,"SOMERSET COUNTY",59.31,12.12,719
"13963","RSU 75/MSAD 75","Maine",39320000,7,2314768,"SAGADAHOC COUNTY",237.88,11.1,2640
"13964","RSU 78","Maine",4165000,1,2314803,"FRANKLIN COUNTY",23.5,8,188
"13965","RSU 79/MSAD 01","Maine",24430000,7,2310860,"AROOSTOOK COUNTY",139.95,13.27,1857
"13966","RSU 80/MSAD 04","Maine",8038000,2,2311730,"PISCATAQUIS COUNTY",52.56,12.9,678
"13967","RSU 82/MSAD 12","Maine",2511000,1,2310620,"SOMERSET COUNTY",17.88,9.06,162
"13968","RSU 83/MSAD 13","Maine",3350000,3,2310650,"SOMERSET COUNTY",22.72,8.63,196
"13969","RSU 84/MSAD 14","Maine",2531000,1,2310680,"WASHINGTON COUNTY",17.94,6.52,117
"13970","RSU 85/MSAD 19","Maine",1985000,1,2310830,"WASHINGTON COUNTY",10.53,12.35,130
"13971","RSU 86/MSAD 20","Maine",6830000,2,2310890,"AROOSTOOK COUNTY",50.2,11.47,576
"13972","RSU 87/MSAD 23","Maine",9099000,3,2310980,"PENOBSCOT COUNTY",51.11,17.98,919
"13973","RSU 88/MSAD 24","Maine",4540000,3,2311010,"AROOSTOOK COUNTY",30.33,10.68,324
"13974","RSU 89/MSAD 25","Maine",NA,NA,2311040,"PENOBSCOT COUNTY",0,NA,NA
"13975","RTR PUBLIC SCHOOLS","Minnesota",6317000,3,2700294,"LINCOLN COUNTY",42.42,12.8,543
"13976","RUBICON J6 SCHOOL DISTRICT","Wisconsin",1715000,1,5513200,"DODGE COUNTY",10.68,13.2,141
"13977","RUCKER ELEMENTARY DISTRICT","Arizona",1000,NA,407140,"COCHISE COUNTY",0,NA,0
"13978","RUDD-ROCKFORD-MARBLE RK COMM SCHOOL DISTRICT","Iowa",6165000,2,1924960,"FLOYD COUNTY",39.9,12.51,499
"13979","RUDYARD AREA SCHOOLS","Michigan",9047000,2,2630360,"CHIPPEWA COUNTY",49.43,16.35,808
"13980","RUGBY 5","North Dakota",7163000,2,3816130,"PIERCE COUNTY",46.52,12.08,562
"13981","RUIDOSO MUNICIPAL SCHOOLS","New Mexico",23583000,5,3502310,"LINCOLN COUNTY",127.75,16.73,2137
"13982","RULE ISD","Texas",1713000,1,4838280,"HASKELL COUNTY",17.45,6.93,121
"13983","RUM RIVER SPECIAL EDUCATION COOP","Minnesota",5808000,2,2700318,"ISANTI COUNTY",11.4,0,0
"13984","RUMFORD-REGION 9","Maine",2383000,1,2309110,"OXFORD COUNTY",9.01,0,0
"13985","RUMNEY SCHOOL DISTRICT","New Hampshire",2581000,1,3306000,"GRAFTON COUNTY",13.4,9.25,124
"13986","RUMSON BOROUGH","New Jersey",16458000,2,3414370,"MONMOUTH COUNTY",75.5,13.01,982
"13987","RUMSON-FAIR HAVEN REGIONAL HIGH SCHOOL","New Jersey",18457000,1,3414400,"MONMOUTH COUNTY",79,11.52,910
"13988","RUNESTONE AREA ED. DISTRICT","Minnesota",2175000,4,2700016,"DOUGLAS COUNTY",4.95,18.99,94
"13989","RUNGE ISD","Texas",3766000,4,4838310,"KARNES COUNTY",25.71,12.52,322
"13990","RUNNEMEDE PUBLIC SCHOOL DISTRICT","New Jersey",12974000,3,3414430,"CAMDEN COUNTY",67.5,12.41,838
"13991","RUPERT SCHOOL DISTRICT","Vermont",616000,NA,5007020,"BENNINGTON COUNTY",0,NA,54
"13992","RURAL CASS SPECIAL ED UNIT","North Dakota",2001000,1,3880310,"CASS COUNTY",14.5,NA,NA
"13993","RURAL CHAMPAIGN CO SPEC ED COOP","Illinois",8275000,2,1700205,"CHAMPAIGN COUNTY",24,NA,NA
"13994","RURAL COMMUNITY SCHOOLS INC","Indiana",1153000,1,1800043,"SULLIVAN COUNTY",12.08,11.26,136
"13995","RURAL VISTA","Kansas",4873000,4,2007440,"MORRIS COUNTY",41.3,9.35,386
"13996","RUSH CITY PUBLIC SCHOOL DISTRICT","Minnesota",10579000,2,2732550,"CHISAGO COUNTY",49.95,18.26,912
"13997","RUSH COUNTY SCHOOLS","Indiana",27456000,7,1809750,"RUSH COUNTY",169.32,15.01,2542
"13998","RUSH SPRINGS","Oklahoma",5107000,3,4026550,"GRADY COUNTY",41.4,14.71,609
"13999","RUSH-HENRIETTA CENTRAL SCHOOL DISTRICT","New York",108856000,9,3625170,"MONROE COUNTY",481.34,11.41,5491
"14000","RUSHFORD-PETERSON PUBLIC SCHOOLS","Minnesota",7245000,3,2728290,"FILLMORE COUNTY",51.34,12.66,650
"14001","RUSHMORE ACADEMY","Ohio",1303000,1,3901356,"MARION COUNTY",6,24.83,149
"14002","RUSK ISD","Texas",19768000,5,4838360,"CHEROKEE COUNTY",147.39,14.88,2193
"14003","RUSSELL BYERS CS","Pennsylvania",5248000,1,4200092,"PHILADELPHIA COUNTY",28,15.79,442
"14004","RUSSELL CO PBLC SCHS","Virginia",43451000,14,5103420,"RUSSELL COUNTY",280.25,15.81,4430
"14005","RUSSELL COUNTY","Kentucky",30767000,7,2105160,"RUSSELL COUNTY",181.2,16.47,2984
"14006","RUSSELL COUNTY","Kansas",9802000,4,2011310,"RUSSELL COUNTY",77.2,10.43,805
"14007","RUSSELL COUNTY","Alabama",29494000,9,102880,"RUSSELL COUNTY",199,17.54,3491
"14008","RUSSELL INDEPENDENT","Kentucky",20685000,5,2105130,"GREENUP COUNTY",126.6,17.58,2226
"14009","RUSSELLVILLE CITY","Alabama",24032000,4,102910,"FRANKLIN COUNTY",173.5,14.39,2496
"14010","RUSSELLVILLE INDEPENDENT","Kentucky",12015000,3,2105190,"LOGAN COUNTY",71.4,15.6,1114
"14011","RUSSELLVILLE SCHOOL DISTRICT","Arkansas",62695000,11,512060,"POPE COUNTY",384.43,13.69,5263
"14012","RUSSIA LOCAL","Ohio",5289000,2,3904981,"SHELBY COUNTY",27.63,16.65,460
"14013","RUTHERFORD COUNTY","Tennessee",314474000,46,4703690,"RUTHERFORD COUNTY",2625.9,15.08,39608
"14014","RUTHERFORD COUNTY SCHOOLS","North Carolina",83527000,18,3704080,"RUTHERFORD COUNTY",570.82,15.93,9092
"14015","RUTHERFORD PUBLIC SCHOOLS","New Jersey",43564000,5,3414460,"BERGEN COUNTY",194.5,12.75,2480
"14016","RUTHVEN-AYRSHIRE COMM SCHOOL DISTRICT","Iowa",3625000,2,1925050,"PALO ALTO COUNTY",23.3,11.59,270
"14017","RUTLAND CCSD 230","Illinois",1507000,1,1735100,"LASALLE COUNTY",8.88,7.88,70
"14018","RUTLAND CENTRAL SUPERVISORY UNION","Vermont",1852000,NA,5099937,"RUTLAND COUNTY",3.1,NA,NA
"14019","RUTLAND CITY SCHOOL DISTRICT","Vermont",45630000,6,5007050,"RUTLAND COUNTY",232.5,9.14,2126
"14020","RUTLAND CITY SUPERVISORY DISTRICT","Vermont",NA,NA,5099940,"RUTLAND COUNTY",14.9,NA,NA
"14021","RUTLAND NORTHEAST SUPERVISORY UNION","Vermont",10474000,NA,5099936,"RUTLAND COUNTY",34.3,NA,NA
"14022","RUTLAND SCHOOL DISTRICT 39-4","South Dakota",1537000,3,4664140,"LAKE COUNTY",17.54,7.07,124
"14023","RUTLAND SOUTH SUPERVISORY UNION","Vermont",2647000,NA,5099933,"RUTLAND COUNTY",1.7,NA,NA
"14024","RUTLAND SOUTHWEST SUPERVISORY UNION","Vermont",2137000,NA,5099938,"RUTLAND COUNTY",3.06,NA,NA
"14025","RUTLAND TOWN SCHOOL DISTRICT","Vermont",7530000,1,5007080,"RUTLAND COUNTY",30.9,17.02,526
"14026","RUTLAND WINDSOR SUPERVISORY UNION","Vermont",1557000,NA,5099939,"WINDSOR COUNTY",1,NA,NA
"14027","RYAL","Oklahoma",1112000,1,4026580,"MCINTOSH COUNTY",7,11,77
"14028","RYAN","Oklahoma",2537000,2,4026610,"JEFFERSON COUNTY",21.4,11.26,241
"14029","RYE CITY SCHOOL DISTRICT","New York",73812000,5,3625260,"WESTCHESTER COUNTY",261.87,12.34,3232
"14030","RYE NECK UNION FREE SCHOOL DISTRICT","New York",36179000,4,3625290,"WESTCHESTER COUNTY",117.68,12.68,1492
"14031","RYE SCHOOL DISTRICT","New Hampshire",12042000,2,3306030,"ROCKINGHAM COUNTY",51.2,13.98,716
"14032","RYEGATE K-12 SCHOOLS","Montana",1250000,3,3023340,"GOLDEN VALLEY COUNTY",10.9,5.6,61
"14033","RYEGATE SCHOOL DISTRICT","Vermont",NA,NA,5000378,"ORANGE COUNTY",0,NA,0
"14034","S AND S CISD","Texas",8955000,4,4838400,"GRAYSON COUNTY",55.61,14.78,822
"14035","S H ELEM","Montana",68000,1,3008040,"CUSTER COUNTY",1,4,4
"14036","S WILL CO COOP FOR SPEC ED","Illinois",18419000,2,1701389,"WILL COUNTY",59.1,NA,NA
"14037","S Y ELEM","Montana",69000,1,3008010,"CUSTER COUNTY",1,7,7
"14038","S.EAST VA TRN CT","Virginia",NA,1,5100056,"CHESAPEAKE CITY",0,NA,0
"14039","S.SIDE VA TRN CT","Virginia",NA,1,5100052,"DINWIDDIE COUNTY",0,NA,0
"14040","S.WEST VA TRN CT","Virginia",NA,1,5100057,"CARROLL COUNTY",0,NA,0
"14041","SABINAL ISD","Texas",6856000,4,4838430,"UVALDE COUNTY",41.12,13.33,548
"14042","SABINE ISD","Texas",13105000,4,4838460,"GREGG COUNTY",101.48,12.58,1277
"14043","SABINE PARISH","Louisiana",62575000,11,2201380,"SABINE PARISH",324,13.18,4271
"14044","SABINE PASS ISD","Texas",10821000,2,4838490,"JEFFERSON COUNTY",27.21,12.72,346
"14045","SABIS INTERNATIONAL CHARTER (DISTRICT)","Massachusetts",21472000,1,2500028,"HAMPDEN COUNTY",65.3,24.1,1574
"14046","SACATON ELEMENTARY DISTRICT","Arizona",6890000,2,407200,"PINAL COUNTY",35,13.29,465
"14047","SACHEM CENTRAL SCHOOL DISTRICT","New York",279495000,18,3625350,"SUFFOLK COUNTY",1007.84,14.35,14465
"14048","SACKETS HARBOR CENTRAL SCHOOL DISTRICT","New York",7827000,1,3614880,"JEFFERSON COUNTY",38.03,12.73,484
"14049","SACO ELEM","Montana",802000,2,3023370,"PHILLIPS COUNTY",5.24,6.11,32
"14050","SACO H S","Montana",704000,1,3023400,"PHILLIPS COUNTY",5.11,4.7,24
"14051","SACRAMENTO CITY UNIFIED","California",498462000,88,633840,"SACRAMENTO COUNTY",1672.63,28.66,47940
"14052","SACRAMENTO COUNTY OFFICE OF EDUCATION","California",129920000,9,691027,"SACRAMENTO COUNTY",91.39,9.71,887
"14053","SACRAMENTO COUNTY ROP","California",NA,1,600095,"SACRAMENTO COUNTY",NA,NA,NA
"14054","SADDLE BROOK TOWNSHIP BOARD OF EDUCATION","New Jersey",33743000,5,3414490,"BERGEN COUNTY",132.5,12.79,1695
"14055","SADDLE MOUNTAIN UNIFIED SCHOOL DISTRICT","Arizona",15197000,3,407170,"MARICOPA COUNTY",67,19.88,1332
"14056","SADDLE RIVER SCHOOL DISTRICT","New Jersey",8613000,1,3414520,"BERGEN COUNTY",23.9,9.54,228
"14057","SADDLEBACK VALLEY UNIFIED","California",280113000,34,633860,"ORANGE COUNTY",1125.07,27.45,30885
"14058","SAFETYNET ACADEMY","Alabama",NA,4,100015,"JEFFERSON COUNTY",0,NA,0
"14059","SAFFORD UNIFIED DISTRICT","Arizona",17386000,6,407240,"GRAHAM COUNTY",163.25,19.23,3140
"14060","SAG HARBOR UNION FREE SCHOOL DISTRICT","New York",34278000,2,3625380,"SUFFOLK COUNTY",104.83,9.79,1026
"14061","SAGAPONACK COMMON SCHOOL DISTRICT","New York",1655000,1,3625410,"SUFFOLK COUNTY",3.45,5.22,18
"14062","SAGE ACADEMY  INC.","Arizona",649000,1,400748,"MARICOPA COUNTY",NA,NA,87
"14063","SAGE ACADEMY CHARTER SCHOOL","Minnesota",1104000,1,2700211,"HENNEPIN COUNTY",5.66,13.96,79
"14064","SAGE INTERNATIONAL SCHOOL OF BOISE","Idaho",1601000,1,1600156,"ADA COUNTY",19.52,17.21,336
"14065","SAGINAW COUNTY TRANSITION ACADEMY","Michigan",1150000,1,2600119,"SAGINAW COUNTY",6.4,20.63,132
"14066","SAGINAW ISD","Michigan",61964000,5,2680930,"SAGINAW COUNTY",155.75,11.78,1834
"14067","SAGINAW LEARN TO EARN ACADEMY","Michigan",995000,1,2600318,"SAGINAW COUNTY",6,18.17,109
"14068","SAGINAW PREPARATORY ACADEMY","Michigan",4088000,1,2600161,"SAGINAW COUNTY",22.5,18.09,407
"14069","SAGINAW SCHOOL DISTRICT OF THE CITY OF","Michigan",94845000,23,2630390,"SAGINAW COUNTY",501.3,15.86,7951
"14070","SAGINAW TOWNSHIP COMMUNITY SCHOOLS","Michigan",47109000,8,2630450,"SAGINAW COUNTY",257.32,19.67,5062
"14071","SAHUARITA UNIFIED DISTRICT","Arizona",37596000,7,407300,"PIMA COUNTY",274.5,18.58,5101
"14072","SAINT ALBANS CITY SCHOOL DISTRICT","Vermont",11423000,1,5007560,"FRANKLIN COUNTY",78.56,9.88,776
"14073","SAINT ALBANS TOWN SCHOOL DISTRICT","Vermont",9556000,1,5007600,"FRANKLIN COUNTY",58.6,13.09,767
"14074","SAINT CLAIR AREA SD","Pennsylvania",9518000,1,4222710,"SCHUYLKILL COUNTY",53,10.96,581
"14075","SAINT CROIX CENTRAL SCHOOL DISTRICT","Wisconsin",17730000,3,5506060,"ST. CROIX COUNTY",93.17,16.5,1537
"14076","SAINT CROIX FALLS SCHOOL DISTRICT","Wisconsin",15187000,4,5513230,"POLK COUNTY",77,14.79,1139
"14077","SAINT FRANCIS SCHOOL DISTRICT","Wisconsin",15575000,3,5513260,"MILWAUKEE COUNTY",75.05,17.4,1306
"14078","SAINT GEORGE SCHOOL DISTRICT","Vermont",1860000,NA,5007620,"CHITTENDEN COUNTY",0,NA,113
"14079","SAINT HELENA UNIFIED","California",25815000,4,637830,"NAPA COUNTY",85.35,16.02,1367
"14080","SAINT JO ISD","Texas",3617000,2,4838520,"MONTAGUE COUNTY",27.55,10.16,280
"14081","SAINT JOHNSBURY SCHOOL DISTRICT","Vermont",17354000,1,5007650,"CALEDONIA COUNTY",58,17.91,1039
"14082","SAINT JOHNSBURY SUPERVISORY DISTRICT","Vermont",NA,NA,5099911,"CALEDONIA COUNTY",0,NA,NA
